0701905000,1.10   
0703101900,1.30   
0703200000,1.40   
0705290000,1.120  
0708200000,1.170  
0708200010,1.170  
0708200020,1.170  
0708200080,1.170  
0709200010,1.200.1
0709200090,1.200.2
0709601000,1.240  
0714201000,1.270  
0804300090,2.30   
0804400010,2.40   
0805102200,2.60.2 
0805211010,2.70.2 
0805219011,2.70.3 
0805219091,2.70.4 
0805220020,2.70.1 
0805290011,2.70.3 
0805290021,2.70.4 
0805290091,2.70.4 
0805400011,2.90.1 
0805400019,2.90.2 
0805400031,2.90.1 
0805400039,2.90.2 
0805509010,2.85   
0806101005,2.100  
0806101090,2.100  
0807110000,2.110  
0807190000,2.120.2
0807190050,2.120.1
0807190090,2.120.2
0808101000,2.130  
0808309010,2.140.1
0808309090,2.140.2
0809100000,2.190  
0809301000,2.180  
0809309000,2.170  
0809400500,2.190  
0810100000,2.200  
0810201000,2.205  
2921290020,0000000
2921290030,0000000
2921450090,0000000
9403401010,0000000
9403401090,0000000
9403409010,0000000
9403409090,0000000
